D101;Formation initiale et continue de niveau Licence;Formation de niveau Licence
D102;Formation initiale et continue de niveau Master;Formation de niveau Master
D103;Formation initiale et continue de niveau Doctorat;Formation de niveau Doctorat
D105;Bibliothèques et documentation;Bibliothèques et documentation
D106;Recherche universitaire en sciences de la vie, biotechnologie et santé;Recherche sc. de la vie, biotech et santé
D107;Recherche universitaire en mathématiques, sciences et techniques de l'information et de la communication, micro et nanotechnologies;Recherche math, STIC, micro et nanotech
D108;Recherche universitaire en physique, chimie et sciences pour l'ingénieur;Recherche physique, chimie, sc. pr l'ingénieur
D109;Recherche universitaire en physique nucléaire et des hautes énergies;Recherche physique nucléaire et hautes énergies
D110;Recherche universitaire en sciences de la terre, de l'univers et de l'environnement;Recherche sc. de la terre, univers et environnemt
D111;Recherche universitaire en sciences de l'homme et de la société;Recherche sc. de l'homme et de la société
D112;Recherche universitaire interdisciplinaire et transversale;Recherche interdisciplinaire et transversale
D113;Diffusion des savoirs et musées;Diffusion des savoirs et musées
D114;Immobilier;Immobilier
D115;Pilotage et support;Pilotage et support
D201;Aides directes aux étudiants;Aides directes aux étudiants
D202;Aides indirectes;Aides indirectes aux étudiants
D203;Santé des étudiants et activités associatives, culturelles et sportives;Santé des étudiants, act assoc, cult, sportives
