Code du domaine fonctionnel;Intitulé du domaine fonctionnel;Désignation du domaine fonctionnel Niv 1;Désignation du groupe de domaine fonctionnel ;Remarque ;Description;;;;;;
101;Form init&cont bac;LOLF_CUMUL;Groupe DF 101 Licence;Budget;;;;;;;
101ACC;L-ACCUEILLIR ETUDIANTS;GPEDFUDS;Groupe DF 101 Licence;Exécution;Accueillir, informer et inscrire les étudiants, organiser les examens (ex: vacations);;;;;;
101ADM;L-ADMIN SERV SCOLARITE;GPEDFUDS;Groupe DF 101 Licence;Exécution;Administration et fonctionnement des services de scolarité;;;;;;
101COM;L-COM OFFRE DE FORMATION;GPEDFUDS;Groupe DF 101 Licence;Exécution;Faire connaître l'offre de formation: manifestations, production et diffusion de support;;;;;;
101EAD;L-REAL ENSGT EN LIGNE;GPEDFUDS;Groupe DF 101 Licence;Exécution;Réaliser les enseignements à distance (vacations, heures comp, fournitures, matériel TP, matériel audio visuel….) de niveau licence;;;;;;
101ENS;L-REAL ENSGT PRESENT;GPEDFUDS;Groupe DF 101 Licence;Exécution;Réaliser les enseignements en présentiel (vacations, heures comp, fournitures, matériel TP, matériel audio visuel….) de niveau licence;;;;;;
101INSE;L-ACCPGT INSERT PROF;GPEDFUDS;Groupe DF 101 Licence;Exécution;Favoriser l'insertion et l'orientation professionnelles des étudiants;;;;;;
101PED;L-INGENIERIE PEDAGOGIQUE;GPEDFUDS;Groupe DF 101 Licence;Exécution;Conduire un projet pédagogique (ingénierie pédagogique) : étude, conception, réalisation et adaptation d'un dispositif de formation;;;;;;
101RI;L-ACT REL INTERNAT;GPEDFUDS;Groupe DF 101 Licence;Exécution;Favoriser et soutenir les actions de formation dans le cadre des relations interantionales (ex Bourses Erasmus);;;;;;
101SEL;L-SELEC ETUD CONCOURS;GPEDFUDS;Groupe DF 101 Licence;Exécution;Sélectionner les étudiants (concours d'entrée, étude de dossier, frais de jury…) et procéder à la Validation des Acquis et de l'Expérience (fonctionnement du service VAE, suivi des stagiaires…);;;;;;
101SPE;L-REAL ENSGT SPECIFIQUES;GPEDFUDS;Groupe DF 101 Licence;Exécution;Réaliser les enseignements spécifiques: stages, visites, projets, ateliers..);;;;;;
101TUT;L-TUTORAT ACCOMPGNT;GPEDFUDS;Groupe DF 101 Licence;Exécution;Accompagner les étudaints (ex: vacations tutorat, vacations PRL…);;;;;;
