Structure;Code;Label;fleche;pluri;eotp;cc;cp;groupe1;groupe2;Societe
ANT;NA;Non affecté;non;non;NA;SCX;SCX;Services Centraux;TRA;1010
APS2;NA;Non affecté;non;non;NA;APS2LA;APS2;Composantes;APS;1010
APS3;NA;Non affecté;non;non;NA;APS3DNC;APS3;Composantes;APS;1010
APS3DS;NA;Non affecté;non;non;NA;APS3DS1;APS3DS;Composantes;APS;1010
APS3LC;NA;Non affecté;non;non;NA;APS3LC1;APS3LC;Composantes;APS;1010
APS3LP;NA;Non affecté;non;non;NA;APS3LP1;APS3LP;Composantes;APS;1010
APS3MR;NA;Non affecté;non;non;NA;APS3MR1;APS3MR;Composantes;APS;1010
ART2;NA;Non affecté;non;non;NA;ART2LA;ART2;Composantes;ART;1010
ART3;NA;Non affecté;non;non;NA;ART3DNC;ART3;Composantes;ART;1010
ART3DP1;NA;Non affecté;non;non;NA;ART3DP1;ART3DP1;Composantes;ART;1010
ART3DP2;NA;Non affecté;non;non;NA;ART3DP2;ART3DP2;Composantes;ART;1010
ART3DP3;NA;Non affecté;non;non;NA;ART3DP3;ART3DP3;Composantes;ART;1010
ART4;NA;Non affecté;non;non;NA;ART4DUC;ART4;Composantes;ART;1010
CHM1;NA;Non affecté;non;non;NA;CHM1LI;CHM1;Composantes;CHM;1010
CHM2;NA;Non affecté;non;non;NA;CHM2LA;CHM2;Composantes;CHM;1010
CHM3;NA;Non affecté;non;non;NA;CHM3DNC;CHM3;Composantes;CHM;1010
CHM3DPC;NA;Non affecté;non;non;NA;CHM3DPC;CHM3DPC;Composantes;CHM;1010
CHM3LP1;NA;Non affecté;non;non;NA;CHM3LP1;CHM3LP1;Composantes;CHM;1010
CHM3MR3;NA;Non affecté;non;non;NA;CHM3MR3;CHM3MR3;Composantes;CHM;1010
CHM71;NA;Non affecté;non;non;NA;CHM71;CHM71;Composantes;CHM;1010
CHM72;NA;Non affecté;non;non;NA;CHM72;CHM72;Composantes;CHM;1010
COM;NA;Non affecté;non;non;NA;COM;COM;Services Centraux;COM;1010
CPI2;NA;Non affecté;non;non;NA;CPI2LA;CPI2;Composantes;CPI;1010
CPI3;NA;Non affecté;non;non;NA;CPI3MR1;CPI3;Composantes;CPI;1010
CPI4;NA;Non affecté;non;non;NA;CPI4DU3;CPI4;Composantes;CPI;1010
CPI5;NA;Non affecté;non;non;NA;CPI5BE;CPI5;Composantes;CPI;1010
CPI51;NA;Non affecté;non;non;NA;CPI5COLL;CPI51;Composantes;CPI;1010
CPI52;NA;Non affecté;non;non;NA;CPI5EIPIN;CPI52;Composantes;CPI;1010
CPI8;NA;Non affecté;non;non;NA;CPI8BIB;CPI8;Composantes;CPI;1010
CUJ2;NA;Non affecté;non;non;NA;CUJ2LA;CUJ2;Composantes;CUJ;1010
CUJ3;NA;Non affecté;non;non;NA;CUJ3MR1;CUJ3;Composantes;CUJ;1010
DAL;NA;Non affecté;non;non;NA;DAL;DAL;Services Centraux;DAL;1010
DALDPL3;NA;Non affecté;non;non;NA;DALDPL3;DALDPL3;Services Centraux;DAL;1010
DALIMP;NA;Non affecté;non;non;NA;DALIMP;DALIMP;Services Centraux;DAL;1010
