Groupe1;Groupe2;Perimetre;CFParent;CF;Label;Societe
Services Centraux;TRA;1010;SCX;ANT;ANTICIPATION;1010;1010
Composantes;APS;1010;CPE;APS;UFR STAPS;1010
Composantes;APS;1010;APS;APS2;APS-PIL ET LOG COMP;1010
Composantes;APS;1010;APS;APS3;APS-FORM DN;1010
Composantes;APS;1010;APS3;APS3DS;APS-DEUST;1010
Composantes;APS;1010;APS3;APS3LC;APS-LICENCE STAPS;1010
Composantes;APS;1010;APS3;APS3LP;APS-LIC PRO STAPS;1010
Composantes;APS;1010;APS3;APS3MR;APS-MASTER STAPS;1010
Composantes;ART;1010;CPE;ART;UFR DES ARTS;1010
Composantes;ART;1010;ART;ART2;ART-PIL ET LOG COMP;1010
Composantes;ART;1010;ART;ART3;ART-FORM DN;1010
Composantes;ART;1010;ART3;ART3DP1;ART-DPT ARTS VISUELS;1010
Composantes;ART;1010;ART3;ART3DP2;ART-DPT ARTS DU SPEC;1010
Composantes;ART;1010;ART3;ART3DP3;ART-DPT MUSIQUE;1010
Composantes;ART;1010;ART;ART4;ART-DU CFMI;1010
Recherche;BETA;1010;RCH;BETA;UMR 7522;1010
Composantes;CHM;1010;CPE;CHM;FAC DE CHIMIE;1010
Composantes;CHM;1010;CHM;CHM1;CHM-LOG IMMO ET SECU;1010
Composantes;CHM;1010;CHM;CHM2;CHM-PIL ET LOG COMP;1010
Composantes;CHM;1010;CHM;CHM3;CHM-FORM DN;1010
Composantes;CHM;1010;CHM3;CHM3DPC;CHM-DPT COMMUN;1010
Composantes;CHM;1010;CHM3;CHM3LP1;CHM-LP LPCS;1010
Composantes;CHM;1010;CHM3;CHM3MR3;CHM-MR CB2A;1010
Composantes;CHM;1010;CHM;CHM71;CHM-MAGASIN;1010
Composantes;CHM;1010;CHM;CHM72;CHM-LOC BOUT GAZ;1010
Services Centraux;COM;1010;SCX;COM;COM;1010
Composantes;Composantes;1010;1010;CPE;COMPOSANTES;1010
Composantes;CPI;1010;CPE;CPI;CEIPI;1010
Composantes;CPI;1010;CPI;CPI2;CPI-PIL ET LOG COMP;1010
Composantes;CPI;1010;CPI;CPI3;CPI-FORM DN;1010
Composantes;CPI;1010;CPI;CPI4;CPI-FORM DU;1010
Composantes;CPI;1010;CPI;CPI5;CPI-FORM NON DIPLOM;1010
Composantes;CPI;1010;CPI;CPI51;CPI-COLLOQUES;1010
Composantes;CPI;1010;CPI;CPI52;CPI-COLLOQUE EIPIN;1010
Composantes;CPI;1010;CPI;CPI8;CPI-BIBLIOTHEQUE;1010
Composantes;CUJ;1010;CPE;CUJ;CUEJ;1010
Composantes;CUJ;1010;CUJ;CUJ2;CUJ-PIL ET LOG COMP;1010
Composantes;CUJ;1010;CUJ;CUJ3;CUJ-FORM DN;1010
Services Centraux;DAL;1010;SCX;DAL;DALI;1010
Services Centraux;DAL;1010;DAL;DALDPL3;DAL-DPL CNU;1010
Services Centraux;DAL;1010;DAL;DALIMP;DAL-IMPRIMERIE PATIO;1010
Services Centraux;DAL;1010;DAL;DALR1;DAL-RAB 1;1010
Services Centraux;DAL;1010;DAL;DALR2;DAL-RAB 2;1010
Services Centraux;DAL;1010;DAL;DALR3;DAL-RAB 3;1010
Services Centraux;DAL;1010;DAL;DALSEC;DAL-SECU INCENDIE;1010
Services Centraux;DES;1010;SCX;DES;DES;1010
Services Centraux;DES;1010;DES;DESAOF;DES-AO FORMATION;1010
Services Centraux;DES;1010;DES;DESORE;DES-ORESIPE;1010
Services Centraux;DES;1010;DES;DESORG;DES-ORGANISATION;1010
Services Centraux;DES;1010;DES;DESPEAP;DES-PEAP;1010
Services Centraux;DES;1010;DES;DESVAE;DES-VAE;1010
Services Centraux;DIN;1010;SCX;DIN;DI;1010
Services Centraux;DIN;1010;DIN;DINFCT;DIN-FONCT DI;1010
Services Centraux;DIN;1010;DIN;DINJOU;DIN-JOUVENCE INFO;1010
Services Centraux;DIN;1010;DIN;DINLOG;DIN-LOGICIELS;1010
Services Centraux;DIN;1010;DIN;DINOSI;DIN-OSIRIS;1010
Services Centraux;DIN;1010;DIN;DINRAR;DIN-RAREST;1010
Services Centraux;DPI;1010;SCX;DPI;DPI;1010
Services Centraux;DPI;1010;DPI;DPIARC;DPI-HEBERG ARCO CDE;1010
Services Centraux;DPI;1010;DPI;DPIAS;DPI-ASS IMPOTS TAXES;1010
Services Centraux;DPI;1010;DPI;DPICM;DPI-CONTRATS MAINT;1010
Services Centraux;DPI;1010;DPI;DPICPR;DPI-CPER;1010
Services Centraux;DPI;1010;DPI;DPIFCT;DPI-FONCT DPI;1010
Services Centraux;DPI;1010;DPI;DPIFL;DPI-FLUIDES;1010
Services Centraux;DPI;1010;DPI;DPILP;DPI-LOG PATRIMOINE;1010
Services Centraux;DPI;1010;DPI;DPIPAN;DPI-DEPANNAGE;1010
Services Centraux;DPC;1010;DPI;DPC;DPC-PLAN CAMPUS;1010
Services Centraux;DPI;1010;DPI;DPIPIM;DPI-AUTRES PROJ IMMO;1010
Services Centraux;DPI;1010;DPI;DPIPRO;DPI-MAINTENANCE PROG;1010
Services Centraux;DPI;1010;DPI;DPISIA;DPI-SECU INCEN ACC;1010
Services Centraux;DPI;1010;DPI;DPISIT;DPI-RESP DE SITES;1010
Services Centraux;DPI;1010;DPI;DPIVTR;DPI-VERIF TECH REGL;1010
Services Centraux;DRH;1010;SCX;DRH;DRH;1010
Services Centraux;DRH;1010;DRH;DRHBIL;DRH-BILLETERIE;1010
Services Centraux;DRH;1010;DRH;DRHCCR;DRH-CONCOURS ITARF;1010
Services Centraux;DRH;1010;DRH;DRHENS;DRH-RECRUT ENS;1010
Services Centraux;DRH;1010;DRH;DRHFOR;DRH-FORM PERS;1010
